RPM,WindMagnitude,AngleDegrees,AzimuthAngle,Fx,Fy,Fz,Qx,Qy,Qz
45,2,10,288.0,21.544055616906412,-1.217771975574504,4211.106502816929,181.78482768820476,8.488296815527967,-1404.3008339911162
45,2,10,324.0,21.61304123872609,-1.4929913185371446,4221.196686397165,182.0083621382478,6.687632410872654,-1407.6062374791939
45,2,15,0.0,21.496783506043304,-1.3106102334925733,4282.976852737339,180.46301503640376,7.544051354346504,-1427.8479458747959
45,2,15,36.0,21.131885148745123,-1.1489725838480414,4298.780482852561,177.8852563601374,8.586272228301475,-1433.0267994389724
45,2,15,72.0,20.956305557821295,-1.4028503142233206,4308.471327252549,176.4195612608128,6.948370048916935,-1436.2026812186791
45,2,15,108.0,21.22432978360914,-1.3987905930839826,4308.471327252542,178.1224048853087,6.847026578354316,-1436.2026812186793
45,2,15,144.0,21.235482192566373,-1.1474034155771984,4298.780482852571,178.54344151140546,8.54710082914889,-1433.0267994389753
45,2,15,180.0,21.155613204077472,-1.3157778868234637,4282.9768527373435,178.29545099679353,7.673052314620357,-1427.847945874797
45,2,15,216.0,21.500983587976215,-1.4813467298535912,4267.033424174681,180.70384742176253,6.588698430071258,-1422.6236682551255
45,2,15,252.0,21.647486086947524,-1.2144436912066987,4257.116436149854,181.92070972385883,8.280271095383933,-1419.3743063486977
45,2,15,288.0,21.36475472699992,-1.2187261790100687,4257.116436149845,180.124426972494,8.387175526058632,-1419.374306348694
45,2,15,324.0,21.39391111002123,-1.4829685399801082,4267.033424174677,180.02358172597297,6.629183936450312,-1422.6236682551241
45,2,20,0.0,21.03489848639712,-1.2912568407946097,4327.3753817913985,176.4678445629651,7.372948365381287,-1442.3983301194496
45,2,20,36.0,20.62197302261873,-1.1348825837016174,4342.703050784692,173.46043457212346,8.329464377378251,-1447.4222519612033
45,2,20,72.0,20.41426508584061,-1.3706550150241519,4352.079288979581,171.7241913537811,6.775327349838882,-1450.495662906728
