Time_s,RotorSpeed_rad_s,Qaero_Nm,Predicted_WindZ
3.0700000000000003,38.97372227459705,-1367.3238441971796,4.2281010489453195
3.08,38.97254423608099,-1367.290425049635,4.228587721580384
3.09,38.97145673806999,-1367.314534349971,4.229740043035667
3.1,38.9704594105464,-1367.3002898469256,4.230331781629404
3.11,38.96955188378835,-1367.311613021868,4.231180912898548
3.12,38.96873378837375,-1367.305889534487,4.231742582051741
3.13,38.96800475518423,-1367.3115289256252,4.232380503640478
3.14,38.9673644154091,-1367.3095914821158,4.232852670057268
3.15,38.96681240054929,-1367.3127036602746,4.233320894239544
3.16,38.966348342421206,-1367.3124478035152,4.233677772255739
3.17,38.96597187316066,-1367.3144356640516,4.233995380130615
3.18,38.9656826252267,-1367.3149260550704,4.234226139615556
3.19,38.96548023140544,-1367.316413082268,4.2344022426709795
3.2,38.96536432481394,-1367.3172339897833,4.234502700896897
3.21,38.96533453890392,-1367.3184972631925,4.2345419797000705
3.22,38.96539050746558,-1367.319463893729,4.234510908617155
3.23,38.965531864631366,-1367.3206265355116,4.234416074501752
3.24,38.96575824487968,-1367.3216567343616,4.234253559379546
3.25,38.9660692830386,-1367.3227734415702,4.234026448509253
3.26,38.96646461428959,-1367.3238306716214,4.233733158364405
3.27,38.96694387417112,-1367.324925730438,4.233375217935208
3.28,38.967506698582405,-1367.3259937295522,4.232952081208037
3.29,38.96815272378695,-1367.3270779102145,4.232464585478539
3.3000000000000003,38.96888158641621,-1367.3281494273892,4.231912645819429
3.31,38.96969292347316,-1367.329227493669,4.231296792073538
3.3200000000000003,38.97058637233587,-1367.3302992832123,4.230617144191131
3.33,38.97156157076107,-1367.3313733292605,4.2298740953197935
3.34,38.97261815688763,-1367.332443925926,4.229067856408559
3.35,38.973755769240114,-1367.3335148601288,4.2281987597864354
3.36,38.97497404673226,-1367.334583590184,4.227267056767776
3.37,38.97627262867042,-1367.335651793662,4.226273052571697
3.38,38.97765115475705,-1367.3367183354776,4.225217016366743
3.39,38.97910926509408,-1367.3377839556351,4.224099241226424
3.4,38.98064660018638,-1367.3388481441436,4.222920004150081
3.41,38.98226280094511,-1367.3399112246263,4.22167959270708
3.42,38.98395750869107,-1367.340972964989,4.2203782872605835
3.43,38.9857303651581,-1367.342033503598,4.219016372806902
3.44,38.98758101249635,-1367.3430927321326,4.21759413107625
3.45,38.989509093275615,-1367.344150706744,4.216111845784827
3.46,38.99151425048862,-1367.3452073739552,4.2145697991232645
3.47,38.99359612755427,-1367.3462627535332,4.212968274089059
3.48,38.99575436832091,-1367.3473168165374,4.211307552920983
3.49,38.99798861706954,-1367.348369566649,4.209587918132975
3.5,39.00029851851702,-1367.3494209858434,4.207809651813433
3.51,39.00268371781928,-1367.3504710705267,4.2059730360812555
3.52,39.00514386057444,-1367.351519807721,4.204078352775404
3.53,39.007678592826,-1367.3525671907576,4.202125883649611
3.54,39.01028756106595,-1367.353613208924,4.200115910234125
3.5500000000000003,39.01297041223787,-1367.35465785443,4.198048713918949
3.56,39.015726793740015,-1367.3557011174296,4.195924575884408
3.5700000000000003,39.0185563534284,-1367.3567429893808,4.193743777138275
3.58,39.021458739619845,-1367.3577834612524,4.191506598487182
3.59,39.02443360109498,-1367.3588225244466,4.189213320542683
3.6,39.02748058710127,-1367.3598601700237,4.186864223705747
3.61,39.03059934735603,-1367.3608963893512,4.184459588169398
3.62,39.03378953204935,-1367.3619311738018,4.181999693909278
3.63,39.03705079184706,-1367.362964514928,4.179484820680395
3.64,39.04038277789368,-1367.3639964040692,4.176915248006598
3.65,39.04378514181531,-1367.3650268328183,4.174291255181052
3.66,39.04725753572255,-1367.3660557927774,4.171613121257714
3.67,39.05079961221334,-1367.3670832754542,4.168881125044662
3.68,39.05441102437584,-1367.3681092726456,4.166095545103612
3.69,39.05809142579125,-1367.3691337762054,4.163256659741698
3.7,39.06184047053663,-1367.3701567779206,4.160364747004582
3.71,39.06565781318771,-1367.371178269712,4.157420084673854
3.72,39.069543108821655,-1367.372198243393,4.154422950258704
3.73,39.07349601301983,-1367.373216690942,4.151373620994267
3.74,39.07751618187053,-1367.3742336045627,4.148272373837365
3.75,39.08160327197172,-1367.375248976285,4.145119485456201
3.76,39.08575694043372,-1367.3762627981755,4.141915232228142
3.77,39.08997684488191,-1367.377275062559,4.138659890237468
3.78,39.09426264345937,-1367.378285761686,4.135353735266239
3.79,39.09861399482956,-1367.3792948877842,4.131997042789973
3.8,39.103030558178894,-1367.3803024332444,4.128590087975173
3.81,39.10751199321942,-1367.3813083906196,4.125133145674461
3.82,39.11205796019134,-1367.3823127523704,4.121626490418553
3.83,39.11666811986565,-1367.3833155109648,4.118070396412687
3.84,39.12134213354664,-1367.384316659029,4.114465137533919
3.85,39.12607966307444,-1367.3853161892864,4.110810987325586
3.86,39.13088037082756,-1367.3863140943722,4.107108218990314
3.87,39.13574391972539,-1367.3873103669694,4.103357105387085
3.88,39.14066997323065,-1367.388304999953,4.099557919028561
3.89,39.14565819535186,-1367.389297986331,4.095710932075773
3.9,39.150708250645806,-1367.3902893188706,4.091816416328788
3.91,39.155819804219945,-1367.3912789905266,4.08787464322779
3.92,39.16099252173482,-1367.3922669943945,4.083885883847971
3.93,39.16622606940645,-1367.3932533234752,4.079850408892199
3.94,39.1715201140087,-1367.3942379709638,4.075768488690283
3.95,39.17687432287563,-1367.395220930144,4.071640393193341
3.96,39.18228836390384,-1367.3962021942143,4.067466391967285
3.97,39.18776190555478,-1367.3971817562956,4.0632467541886506
3.98,39.19329461685705,-1367.3981596098592,4.058981748645868
3.99,39.19888616740869,-1368.481792223825,4.068462743415335
4.0,39.204463367829945,-1369.529037865348,4.077487884862023
4.01,39.21010119703276,-1369.6113568200597,4.0741758474218965
4.0200000000000005,39.215797116801085,-1369.5352497914332,4.0688019074983846
4.03,39.22155086355348,-1369.5882760956315,4.065027931129238
4.04,39.227362107574216,-1369.5545206678703,4.060105070254718
4.05,39.23323052168435,-1369.5786370645874,4.055875183350254
4.0600000000000005,39.23915577922942,-1369.5641687368818,4.051110674521869
4.07,39.24513755414071,-1369.5754206514998,4.046630302820862
4.08,39.25117552093565,-1369.5695228023644,4.041888730220974
4.09,39.25726935471999,-1369.5750551837812,4.037249916443912
4.1,39.26341873118989,-1369.572964455971,4.03247168914759
4.11,39.26962332663405,-1369.5759528354088,4.027715918106322
4.12,39.27588281793574,-1369.575552167788,4.022875141353554
4.13,39.28219688257485,-1369.577407879335,4.018021430219273
4.14,39.288565198629975,-1369.5777563426996,4.013107180178714
4.15,39.29498744478038,-1369.579106633079,4.008164560605115
4.16,39.30146330030804,-1369.579786024135,4.00317256373515
4.17,39.30799244509958,-1369.5809096571456,3.998145628278932
4.18,39.31457455964831,-1369.581734094994,3.9930745640032743
4.19,39.32120932505611,-1369.5827549530163,3.9879659306371416
4.2,39.32789642303541,-1369.5836418117344,3.9828157884222755
4.21,39.33463553591108,-1369.5846149415388,3.977627195614202
4.22,39.34142634662235,-1369.5855274863377,3.9723985449045323
4.23,39.34826853872466,-1369.5864773411065,3.9671313381745144
4.24,39.35516179639158,-1369.5873992334325,3.961825003963618
4.25,39.36210580441661,-1369.588336669407,3.956480352055335
4.26,39.36910024821504,-1369.5892606362438,3.951097270703716
4.2700000000000005,39.37614481382575,-1369.590190466973,3.9456762616121317
4.28,39.38323918791304,-1369.5911132642095,3.94021741674279
4.29,39.39038305776837,-1369.5920376175677,3.934721100349405
4.3,39.397576111312176,-1369.5929577922043,3.9291874943445784
4.3100000000000005,39.40481803709557,-1369.5938776029616,3.92361690134128
4.32,39.41210852430213,-1369.594794498218,3.9180095426460184
4.33,39.41944726274954,-1369.5957101708063,3.912365692908983
4.34,39.42683394289139,-1369.5966234840014,3.906685590363427
4.3500000000000005,39.43426825581878,-1369.5975351874058,3.900969496651479
4.36,39.44174989326203,-1369.59844477334,3.8952176569447126
4.37,39.44927854759231,-1369.5993525723686,3.8894303265192907
4.38,39.4568539118233,-1369.6002583561085,3.8836077530345072
4.39,39.46447567961281,-1369.6011622690378,3.877750188345166
4.4,39.47214354526435,-1369.6020642073156,3.871857880623372
4.41,39.47985720372876,-1369.602964232461,3.8659310795996564
4.42,39.48761635060575,-1369.6038622957317,3.8599700330669027
4.43,39.49542068214549,-1369.604758422292,3.853974989211437
4.44,39.50326989525013,-1369.6056525880845,3.8479461950503318
4.45,39.51116368747531,-1369.606544801573,3.841883897464241
4.46,39.51910175703172,-1369.6074350499348,3.835788342513224
4.47,39.52708380278653,-1369.608323334662,3.829659775885057
4.48,39.53510952426492,-1369.609209647602,3.8234984425892637
4.49,39.54317862165151,-1369.6100939871783,3.81730458715991
4.5,39.55129079579182,-1369.6109763475688,3.811078453516215
4.51,39.55944574819371,-1369.6118567258136,3.80482028504991
